CLUSTER APOGEE_ID RA DEC NO_SIGMAS_RV NO_SIGMAS_PM DIST_CENTER
"FSR 0494" 2M00260492+6339353 6.520526 63.659824 9.83696604207432 0.678828961926981 6.062853563980001
"FSR 0494" 2M00260720+6352354 6.53001 63.876526 6.011982733785852 4.3611245396885865 8.113006100168766
"FSR 0494" 2M00262137+6328387 6.589048 63.477428 7.926916656115789 0.2936171513987532 16.99186337738844
"FSR 0494" 2M00262464+6354460 6.602707 63.912781 7.268285584810008 1.3477104017094812 10.88183233807531
"FSR 0494" 2M00263392+6329183 6.641366 63.488434 16.835927420149268 2.159415476521154 16.795110530463628
"FSR 0494" 2M00263827+6328125 6.659498 63.470146 3.857512730174916 0.9038265779133702 17.99318315436395
"FSR 0494" 2M00264227+6345059 6.676134 63.751644 10.689505567995882 1.316663872585104 6.811262125854619
"FSR 0494" 2M00265230+6337184 6.717933 63.621784 5.452808544538289 11.951717646447984 11.071598533214658
"FSR 0494" 2M00265251+6351059 6.718805 63.851665 20.85264828104802 0.9481432253881623 9.98883937642254
"NGC 188" 2M00265576+8425156 6.732371 84.421005 inf inf 57.124903177363436
"NGC 188" 2M00271740+8418197 6.822532 84.305489 inf inf 63.19519873063664
"FSR 0494" 2M00271755+6355000 6.823127 63.916687 12.30239453599291 2.6688344036516525 14.614837194886327
"FSR 0494" 2M00271869+6334304 6.827891 63.575138 25.681527896962262 0.5268986627016295 15.125894388699944
"NGC 188" 2M00271909+8518135 6.829555 85.303764 1.9003252272608744 0.5059425437799425 24.97433965737355
"FSR 0494" 2M00274218+6340379 6.925791 63.677219 0.5032351239806986 0.6414380310985013 14.152170094271602
"NGC 188" 2M00274728+8449362 6.947008 84.826744 inf 4.556729496644056 36.14707685377135
"FSR 0494" 2M00280207+6346453 7.008665 63.779274 16.480937671436305 2.0259883632605216 15.722964947556688
"NGC 188" 2M00280841+8522089 7.035063 85.369164 inf 33.95145767908998 24.59532070881037
"STOCK 21" 2M00280850+5750245 7.035455 57.840153 15.510186658305647 8.773282619155852 17.643736116447847
"STOCK 21" 2M00281183+5802273 7.049292 58.040943 21.45869695989605 2.835523632045775 17.591509900343098
"NGC 188" 2M00281231+8507403 7.051322 85.127876 inf inf 25.324351657707044
"STOCK 21" 2M00282185+5804234 7.091051 58.073185 2.637599392017447 4.566233968945048 17.235511185273342
"STOCK 21" 2M00282283+5750455 7.095143 57.845982 16.36610615356969 5.6920255250818155 15.725579549126273
"STOCK 21" 2M00282307+5753324 7.096154 57.892349 2.1203022341052327 2.693612721647116 15.017215568152507
"STOCK 21" 2M00282392+5746155 7.099668 57.770996 22.274531762981063 2.285372456653926 17.590887432941273
"STOCK 21" 2M00282417+5806521 7.10072 58.114494 18.041893735969197 4.104070012882819 18.33677726515112
"STOCK 21" 2M00282718+5805281 7.113268 58.091141 15.166382395949828 1.1165508338172925 17.201845640429738
"STOCK 21" 2M00282960+5757361 7.123338 57.960041 23.488968001449866 4.916575787944934 14.071245933706459
"STOCK 21" 2M00282970+5801378 7.123785 58.027176 32.61740341691453 inf 15.08837212409643
"STOCK 21" 2M00283030+5803120 7.126287 58.053345 7.037540068569105 2.375155354337978 15.682940320113369
"STOCK 21" 2M00283164+5746218 7.131857 57.772736 3.612579405323579 11.12322250723186 16.678533942953084
"STOCK 21" 2M00283205+5757578 7.133555 57.966076 24.942384895151708 4.516181570931607 13.798467641690289
"NGC 188" 2M00283971+8530377 7.16548 85.51049 19.313671529966488 4.812581189096912 27.332909991549585
"STOCK 21" 2M00285225+5751038 7.217709 57.851082 21.74302046656409 7.284362815697548 11.96624581962456
"STOCK 21" 2M00285262+5810130 7.219254 58.170292 28.131241164338284 4.641143892794828 18.02626732796008
"NGC 188" 2M00290015+8441527 7.250638 84.697975 33.91089041045628 27.84755799055731 41.23186503971664
"STOCK 21" 2M00290325+5754283 7.263545 57.907864 7.03152981746463 1.9397457625130134 9.600764772498586
"STOCK 21" 2M00291051+5745084 7.293833 57.752335 18.701835469915366 5.800200511991303 13.700472782187841
"STOCK 21" 2M00291055+5811589 7.293962 58.199707 inf 6.7512527585513995 18.242512524483637
"STOCK 21" 2M00291238+5745373 7.301587 57.760384 6.025453142989475 2.361619538373256 13.168501282214825
"STOCK 21" 2M00291296+5751401 7.304014 57.86116 13.571367611555276 6.566396136195888 9.216227868008446
"STOCK 21" 2M00291381+5746200 7.307555 57.772228 4.205136636243182 7.313708595502262 12.499639881327617
"STOCK 21" 2M00291532+5752541 7.313863 57.881714 27.74505945907805 1.3265562435553846 8.430488172183424
"STOCK 21" 2M00291909+5801318 7.329544 58.025513 0.5441624501564785 3.8279539205158333 9.324873000396709
"STOCK 21" 2M00291949+5739113 7.33122 57.653141 24.908206913314594 6.677360999047908 18.210922078431455
"STOCK 21" 2M00292277+5749093 7.344881 57.819271 4.24975440417042 6.263855280249498 9.620584687705424
"NGC 188" 2M00293513+8453101 7.396378 84.886162 inf inf 31.892032866342912
"STOCK 21" 2M00293728+5750585 7.405366 57.849594 25.16410717147444 6.5393298393817725 6.967105865336574
"STOCK 21" 2M00294003+5808263 7.416792 58.140663 21.838328947382852 2.1440949445295154 13.414214671796108
"STOCK 21" 2M00294232+5746156 7.426348 57.771027 12.823918124348333 2.0378535435905376 10.509145371647236
"STOCK 21" 2M00294779+5741229 7.449147 57.689709 3.486821859473452 3.563806197641695 14.899167273213404
"STOCK 21" 2M00295591+5757411 7.48299 57.961433 0.805042713178877 10.50882487491886 3.1136930733673287
"STOCK 21" 2M00295626+5809307 7.484454 58.158535 3.312055537412229 3.122022334885866 13.890190534682526
"STOCK 21" 2M00295701+5741334 7.487556 57.692638 13.96180052322587 6.163510650728393 14.477713735310607
"STOCK 21" 2M00295804+5745293 7.491849 57.75816 5.143467588411525 2.340693473045994 10.588801315751772
"STOCK 21" 2M00295819+5800165 7.492487 58.004589 8.346659665963722 5.029325996705155 4.952371417443498
"STOCK 21" 2M00295911+5747298 7.496309 57.791615 7.482861461366295 15.641738912591807 8.60103342229942
"STOCK 21" 2M00295981+5742400 7.499224 57.711128 12.17475039034612 "" 13.32343820889527
"STOCK 21" 2M00300242+5739375 7.510091 57.660419 6.322944539701882 6.875711196556694 16.29924987336744
"STOCK 21" 2M00300274+5810480 7.511444 58.180012 16.392263084101373 0.818162916442221 15.045223063903247
"STOCK 21" 2M00300288+5755414 7.512009 57.928185 3.8020965725623754 3.1385741465117745 1.5915387820761435
"STOCK 21" 2M00300536+5745479 7.522351 57.763309 6.289540111485259 5.201109803548802 10.120422548048262
"STOCK 21" 2M00301693+5749204 7.57057 57.822342 0.3138191227416756 3.592584141778331 6.506055875560798
"STOCK 21" 2M00302395+5756303 7.599833 57.94175 14.535124592585413 0.341869382381975 1.3832162028255672
"STOCK 21" 2M00302449+5755189 7.602051 57.921932 28.180631936789528 7.777980568133616 1.387147817001862
"NGC 188" 2M00302772+8505006 7.615526 85.083519 inf 9.788926762406346 23.754050579518214
"STOCK 21" 2M00302988+5756284 7.624522 57.941235 2.3471080560530764 16.782186992324338 2.0975305532042814
"STOCK 21" 2M00303090+5752236 7.628756 57.873241 2.661557938088355 3.1513594039105897 4.054549226427695
"STOCK 21" 2M00303159+5753102 7.631632 57.886192 5.7841708370408 17.866450065420032 3.476502624694987
"STOCK 21" 2M00303202+5755085 7.633426 57.919044 0.056191000801550574 3.9883743035709647 2.388092280299863
"STOCK 21" 2M00303252+5801116 7.635535 58.019909 0.7521858903997182 18.37693821433993 5.846183261740754
"STOCK 21" 2M00303262+5812078 7.635937 58.202183 9.500292849108629 3.8169528580961547 16.459771187382955
"STOCK 21" 2M00303311+5756565 7.637963 57.949032 11.600096018784063 4.428280222367776 2.665602172416441
"STOCK 21" 2M00304080+5807435 7.670033 58.128757 1.8111286433385578 3.715786382902077 12.372801917545642
"NGC 188" 2M00304365+8613524 7.681883 86.231247 inf 33.68849699828395 61.41098955997192
"NGC 188" 2M00304553+8442003 7.689747 84.700111 inf inf 39.81805460583014
"STOCK 21" 2M00305256+5801521 7.719025 58.031162 12.418635988121284 3.2706480298984193 7.834883243830229
"STOCK 21" 2M00305769+5743587 7.740396 57.732994 1.428758804722024 4.900850673182179 13.162352276958927
"NGC 188" 2M00310105+8602097 7.754378 86.036034 inf 7.528984096247486 50.41517015258994
"STOCK 21" 2M00310272+5741177 7.761335 57.688259 6.558501958930769 1.2752833011143805 15.882548496579496
"STOCK 21" 2M00310497+5740054 7.770746 57.668171 10.952110840068904 1.4348722571593107 17.109147064982636
"STOCK 21" 2M00310642+5801376 7.77678 58.027134 19.317204871543186 1.2856599874973904 8.960796920691688
"STOCK 21" 2M00310827+5809322 7.784473 58.158955 13.547948532153326 5.580383988444366 15.415132327561697
"STOCK 21" 2M00310894+5744056 7.787273 57.734898 0.187198818390124 5.777511373940121 13.779752857120332
"STOCK 21" 2M00311156+5806062 7.798172 58.101727 10.565939264254904 4.4193078619599655 12.7196204854069
"NGC 188" 2M00311262+8430570 7.802596 84.515839 inf inf 49.33713906564361
"NGC 188" 2M00311352+8448490 7.806349 84.813622 inf inf 33.79915582649632
"STOCK 21" 2M00311908+5739415 7.829532 57.661549 8.684915897159325 2.3614715170830567 18.277368632012912
"STOCK 21" 2M00311944+5811486 7.831003 58.196838 7.983888658182621 7.731665860367728 18.11254211765775
"STOCK 21" 2M00312250+5741341 7.84376 57.692825 10.750462883324655 5.1053435426824825 16.879217286834603
"STOCK 21" 2M00312343+5807082 7.84764 58.11895 19.42165085123436 2.379515872421246 14.495686485219025
"STOCK 21" 2M00313519+5748315 7.896642 57.808777 6.594324441491494 4.2261922397130975 12.94987980732014
"STOCK 21" 2M00314052+5751358 7.918838 57.859959 16.873226964547158 3.3754098356140894 12.15175999178976
"STOCK 21" 2M00314167+5747259 7.923661 57.790543 25.730978073729435 8.058547249774053 14.28770612874799
"NGC 188" 2M00314193+8606493 7.924709 86.113708 inf 28.129682880808154 54.45944760569888
"STOCK 21" 2M00314654+5757016 7.943944 57.950455 12.797485085116492 4.006804306568387 12.229915873577227
"STOCK 21" 2M00315366+5804583 7.973584 58.082867 11.050703134374738 11.21259701827785 15.961936183585077
"STOCK 21" 2M00315685+5743383 7.986915 57.727306 21.954137324342668 5.194533246984321 18.258767682648315
"NGC 188" 2M00320079+8511465 8.003295 85.196251 0.03512324087498506 0.31561554032486877 19.548226725780804
"STOCK 21" 2M00320173+5806214 8.007235 58.105946 14.596088613384955 3.691807510866267 17.635611824705958
"STOCK 21" 2M00320716+5801597 8.029852 58.03326 5.277636675864597 1.144012119143815 16.112910597402827
"NGC 188" 2M00320873+8428472 8.036388 84.479805 inf inf 50.803601874639654
"NGC 188" 2M00320949+8502263 8.039568 85.040665 5.103167145317623 11.579631243175996 23.236463463920693
"STOCK 21" 2M00321082+5749296 8.045096 57.824898 11.991775432719649 2.954621811303188 16.67552269735761
"NGC 188" 2M00321775+8519580 8.073979 85.332779 inf 18.485407622706262 19.18065838398336
"STOCK 21" 2M00322274+5756300 8.094757 57.941689 31.93853199122914 1.8691408258925588 16.990177770865508
"NGC 188" 2M00325001+8416504 8.208407 84.28067 23.248781034499356 11.5975425824184 61.74318172205688
"NGC 188" 2M00325164+8445517 8.215197 84.764374 inf 4.612301348884468 35.02103326669844
"NGC 188" 2M00325807+8512069 8.241983 85.201935 inf 4.079308859340389 18.304816287415928
"NGC 188" 2M00330093+8454150 8.253906 84.904175 inf 20.304589928115675 28.03478047822424
"NGC 188" 2M00332038+8454103 8.334936 84.90287 inf inf 27.82239595478281
"NGC 188" 2M00332074+8510002 8.336431 85.16674 inf 25.833497319938058 18.397711596688218
"NGC 188" 2M00332817+8451593 8.367383 84.866493 inf 25.011975475049827 29.451110157796332
"NGC 188" 2M00335562+8440367 8.48179 84.676872 inf 5.825137403421864 38.955792453185765
"NGC 188" 2M00335978+8434297 8.499116 84.574921 inf inf 44.52077590291604
"NGC 188" 2M00345382+8532431 8.724253 85.545326 inf 38.29933019299565 23.01931359113534
"NGC 188" 2M00360579+8548533 9.024147 85.814812 inf 4.114710947424759 36.084009638087004
"NGC 188" 2M00362011+8445432 9.083795 84.762009 inf inf 32.92011344418417
"NGC 188" 2M00362885+8431565 9.120226 84.532372 inf 10.72304968292448 45.740433861726984
"NGC 188" 2M00364344+8555583 9.181008 85.932877 inf inf 42.48471080790317
"NGC 188" 2M00364556+8454157 9.189867 84.904381 inf 33.49199658702345 25.107872468880196
"NGC 188" 2M00365177+8451529 9.215737 84.864716 inf 15.903055572273722 27.092749354862423
"NGC 188" 2M00370540+8506214 9.272532 85.105965 18.286122655980865 16.18384746561933 15.78974993279153
"NGC 188" 2M00373960+8457317 9.415007 84.958832 inf 19.313869707354968 21.715047428332117
"NGC 188" 2M00380535+8548563 9.522298 85.815659 inf inf 35.349401667546786
"NGC 188" 2M00383684+8553399 9.653529 85.894432 inf 15.238814871829248 39.686029846250044
"NGC 188" 2M00394524+8449597 9.938524 84.83326 0.35039381023946076 0.13965646673205778 27.1820226743472
"NGC 188" 2M00395193+8520363 9.966408 85.343437 inf inf 10.690153768903523
"NGC 188" 2M00395400+8424513 9.975037 84.414276 15.442454655692393 inf 51.45066328659083
"NGC 188" 2M00401122+8409100 10.046755 84.152779 inf 16.247387746132507 66.88110002955293
"NGC 188" 2M00401683+8531380 10.070138 85.527229 inf 13.856500850130761 18.455814566962484
"NGC 188" 2M00402299+8440534 10.095806 84.681503 inf inf 35.631018714883375
"NGC 188" 2M00404570+8514568 10.19044 85.24913 inf 26.852276019010716 8.270276037007083
"NGC 188" 2M00405169+8415022 10.215405 84.250618 24.773878679247012 2.884879916402802 60.926757233241446
"NGC 188" 2M00405390+8527104 10.224614 85.452896 0.7325722012067144 6.448926392471673 14.269348276771215
"NGC 188" 2M00410020+8511328 10.250836 85.192451 inf 16.660236884922185 8.84675026043174
"NGC 188" 2M00410552+8448262 10.273041 84.807297 inf 22.216697162553054 28.09101136272389
"NGC 188" 2M00414022+8545581 10.417621 85.766144 inf 7.02057983764699 31.39699382154829
"NGC 188" 2M00414928+8505299 10.455334 85.09166 inf inf 12.08144293705719
"NGC 188" 2M00415197+8527070 10.466547 85.451965 0.6568689488033403 0.252634599506847 13.603983696420498
"NGC 188" 2M00420349+8501088 10.51455 85.019119 24.659105016401366 inf 15.709334668874561
"NGC 188" 2M00421430+8432135 10.559611 84.537109 inf 10.986023466078445 43.62423782406017
"NGC 188" 2M00422570+8516219 10.607104 85.272758 5.7569975578487425 0.6084096469144804 6.268893501221138
"NGC 188" 2M00423092+8621310 10.628849 86.35862 inf 11.51240850406457 66.4285821173311
"NGC 188" 2M00423730+8435335 10.655446 84.592644 inf 13.721080398131349 40.24824763643967
"NGC 188" 2M00432328+8448184 10.847004 84.805122 26.76264975927914 4.960734527807207 27.497392150923332
"NGC 188" 2M00433123+8433361 10.88016 84.560051 inf 17.62197403276292 42.0196311940401
"NGC 188" 2M00443151+8423583 11.131318 84.399536 28.792574222860566 inf 51.478305658345974
"NGC 188" 2M00444460+8532163 11.185871 85.537872 0.16080643419921017 0.12219196054662923 17.271843907610045
"NGC 188" 2M00444521+8525347 11.188407 85.426323 11.434664631729197 8.777327283911646 10.776685662578094
"NGC 188" 2M00445183+8446137 11.215992 84.770493 inf 22.46609069758784 29.262686212469127
"NGC 188" 2M00445469+8432126 11.227888 84.536858 inf inf 43.22011954387232
"NGC 188" 2M00454764+8500111 11.448519 85.00309 inf 7.920550869844039 15.257894320485086
"NGC 188" 2M00454828+8451091 11.451203 84.852554 15.284983110825861 9.155033492293734 24.239180005714285
"NGC 188" 2M00461365+8615556 11.556898 86.26545 35.476577613775476 9.405197175485416 60.63841278485946
"NGC 188" 2M00463232+8449541 11.634684 84.831696 inf 7.80615630439489 25.42641124140397
"NGC 188" 2M00463676+8541092 11.653173 85.685905 inf 15.716420940130778 25.86908033549927
"NGC 188" 2M00465109+8441110 11.712876 84.686401 13.110891522309437 0.8441825488344107 34.12674509131304
"NGC 188" 2M00472975+8524140 11.873999 85.403915 3.0656562481193395 0.09933665700494415 8.932691828349158
"NGC 188" 2M00473059+8528566 11.877479 85.482391 0.24651411458691444 0.1284096942950809 13.641194636829479
"NGC 188" 2M00473076+8454480 11.878192 84.913338 inf 31.17672404347882 20.502819172401715
"NGC 188" 2M00474218+8622431 11.925781 86.378639 inf 5.184473843247606 67.41632433311469
"NGC 188" 2M00475315+8504023 11.971495 85.067329 inf 3.0120082889335063 11.278607766670243
"NGC 188" 2M00475858+8458472 11.994095 84.97979 32.85579293674157 19.938067050289078 16.53075398486394
"NGC 188" 2M00482857+8421527 12.119068 84.364655 34.674351876953395 4.145262896100898 53.44262179730182
"NGC 188" 2M00482923+8520326 12.121807 85.342392 3.7706720679542256 17.58297806723243 5.403431997780501
"NGC 188" 2M00484366+8554018 12.181933 85.900513 inf 13.401152386923359 38.75755396298844
"NGC 188" 2M00491917+8440009 12.329893 84.666931 inf inf 35.37549192156881
"NGC 188" 2M00492040+8518388 12.335037 85.310799 inf inf 4.100990105950269
"NGC 188" 2M00492985+8538189 12.374392 85.638611 10.527954460649003 15.147076573303673 23.146666549564767
"NGC 188" 2M00493181+8419394 12.382543 84.327637 inf 31.830607325213307 55.71828166164341
"NGC 188" 2M00493706+8529330 12.404427 85.492508 inf 17.30545098500099 14.49423132325121
"NGC 188" 2M00505133+8606434 12.713909 86.112076 4.82425215894009 19.71039059768769 51.566727513904304
"NGC 188" 2M00512176+8512377 12.840691 85.21048 6.030166962141459 0.25404237912996164 5.598625574779249
"NGC 188" 2M00520873+8517190 13.036412 85.288612 9.166986586975977 inf 6.183711215796941
"NGC 188" 2M00522777+8444434 13.115741 84.745415 5.711272932026591 2.0489237094666555 31.27943988528038
"NGC 188" 2M00523662+8500184 13.152584 85.005119 inf 5.925230515354665 16.388187777487246
"NGC 188" 2M00533497+8511145 13.395711 85.187386 0.3409976516615181 0.08723458436798127 8.708737225455133
"NGC 188" 2M00533572+8520583 13.398837 85.349541 1.1465545070017544 0.11536415747624765 9.473388289962159
"NGC 188" 2M00541152+8515231 13.548027 85.256439 0.4896893290129327 0.12722972954521994 8.405535813503455
"NGC 188" 2M00542287+8455398 13.595316 84.927742 1.5272310785256324 0.08468384351596218 21.574629118754892
"NGC 188" 2M00543664+8501152 13.652682 85.020889 0.3888479296189076 0.08002414480654238 16.762335299823164
"NGC 188" 2M00545109+8414353 13.71288 84.243156 inf 17.932927389198184 61.55728716086824
"NGC 188" 2M00550214+8419012 13.758929 84.317024 3.3012726246986355 5.06121376741481 57.22376401319391
"NGC 188" 2M00562255+8459582 14.09399 84.999519 inf 18.868818201626606 19.111622284482834
