NAME CENTER_RA CENTER_DEC RADIUS DISTANCE_APOGEE DISTANCE_DISP_APOGEE LOG_AGE LOG_AGE_ERR M_H M_H_DISP RV_FIT_MEAN RV_FIT_STD RV_FIT_AMP PM_FIT_RA_MEAN PM_FIT_DEC_MEAN PM_FIT_RA_STD PM_FIT_DEC_STD PM_FIT_AMP PM_FIT_THETA PM_FIT_BACKGROUND_SCALE AMP_RESIDUAL_RV NUM_MEMBERS FLAG MG_FE MG_FE_DISP Z R_GC R_GC_ERR SPACE_VEL_DISP SPACE_VEL_DISP_ERR
"ASCC 100" 285.40540886767747 33.574881572960564 21.9 4.2827 0.0 7.95 0.0 0.0021347850561141968 0.15655235946178436 7.057903189230414 2.9864524830893906 0.026235519654817387 1.0271950775827456 -4.992609578802357 -0.6515723395555361 1.511645684749539 0.0071571526548837566 0.620224445833993 0.8973118997613344 10.263227359950125 4 INSU 0.05307236313819885 0.0409296452999115 0.9600360133738927 7.504616903883558 0.09901758442076974 15.661249949248154 3.7729404151170765
"ASCC 13" 78.45021737196505 44.59494176894108 40.800000000000004 3.75105 1.1731492645332904 7.71 0.0 -0.24033546447753906 0.18682503700256348 -10.268783939494638 1.009545572778551 0.041850375221146124 0.4954710670469295 -1.0774760248818585 0.4722822874991786 -0.6061777303558337 0.032984024773837044 -8.301088919185105 0.8863685415470527 9.598221280090806 14 WARN 0.05855482071638107 0.049628131091594696 0.2571461462423158 11.936385617566366 0.9197207615159361 6.3665595106161215 1.5516189581205952
"ASCC 16" 81.03690394959118 1.6400962437419302 39.6 0.16699999999999998 0.023024083009698777 7.0 0.0 -0.08222613483667374 0.10398655384778976 20.647148559023506 0.7923571679934304 0.10368799902446574 1.3947283810703541 0.09240764271090147 0.6089743151937455 0.6533277714993156 0.06408787716855877 3.345168334506108 0.7283335234814754 35.71266452104407 89 GOOD -0.05281493440270424 0.07403416931629181 0.025567248808370534 8.448083247223982 0.03910108602490991 0.8565223268687927 0.030880868903014863
"ASCC 17" 81.33007261054165 30.181898914348906 11.700000000000001 2.032 0.0 7.265 0.0 -0.11563297361135483 0.2356356680393219 12.2678955118233 3.5179879968882393 0.032202219597356835 1.0503694095092129 -2.0460831809292173 1.5668763082239938 0.9647978123813773 0.03096082882059564 3.4793643501213896 0.4523790348580565 11.417401436154577 9 WARN 0.007980735041201115 0.047615762799978256 0.07428262771021041 10.32650449517301 0.5075376403724662 8.880603134081621 1.871744280060278
"ASCC 18" 81.56212155454405 0.9003005496877041 26.4 2.7003 0.0 7.15 0.0 -0.1648278534412384 0.1989576816558838 33.80797042402377 0.5182431805443632 0.05287820022343158 0.26567249760253453 -0.19542306260021935 1.3795432526946838 1.0443907441540004 0.022849807393645928 0.5778711090684779 0.669399617447777 13.213094862468688 7 INSU 0.09882757067680359 0.252031534910202 0.8186945659547932 10.720832329409333 0.6545443087881504 10.202402857410357 2.5440195197571986
"ASCC 19" 81.92246561709526 -1.9649924424983913 31.200000000000003 0.1789 0.0749395468166397 7.5 0.0 -0.11201287060976028 0.11366275697946548 23.368531788107262 0.86479100168588 0.08399398975456539 1.1949245114065625 -1.2738922518189024 0.6878252779812856 0.5668770061698822 0.06074358797090028 3.0031459586680693 0.6053159130569802 27.50683330773373 48 GOOD -0.08107779920101166 0.10345631092786789 0.03216137630703565 8.453474077469691 0.04078947311038776 0.9320875876907239 0.032433592112796394
"ASCC 20" 82.18977214525806 1.639678221376559 43.5 0.16515000000000002 0.09169004798777237 7.0 0.0 -0.06853173673152924 0.07635783404111862 19.680805885720673 0.2446612060284625 0.04767190882532859 3.6353010998924042 -1.6230103716519286 1.4508966127152516 0.7977825768037019 0.004949072724273041 -2.1636792688075657 0.9660386773282846 12.74268351043029 37 GOOD -0.07618515193462372 0.06257831305265427 0.022229428274415142 8.446686028095016 0.03851230246706631 0.6445711055270268 0.13792613464043996
"B 35" 85.92134245642121 9.094861588534316 33.0 0.49155000000000004 0.795079212704621 8.92 0.0 -0.20944006741046906 0.17242804169654846 28.415516525487686 0.8228431818216414 0.11899038322711658 2.208863059003326 -2.4449791060455253 2.2334240283539852 0.6248486015553885 0.010859853539818942 -2.453201728778134 0.845878030671044 30.178798496232435 53 WARN -0.06770067662000656 0.11428134143352509 0.061917603853018616 8.763724911232826 0.11826557737707398 2.618710915134383 0.5900399237897961
"BDSB 113" 272.25721475627546 -20.07992122861683 6.6 2.3714 0.0036000000000000476 6.0 0.0 0.09500069916248322 0.248272106051445 -3.6905059766156545 5.999999999999999 0.038615416056814955 -1.2815328691117898 -1.9809532838952226 2.3625763792685293 1.4482117725424253 0.029789520582013666 -0.8270319903211023 0.2302557235721756 9.79021342827873 8 WARN 0.09076607972383499 0.10123893618583679 0.012875277607764721 5.982147391397862 -0.5742158207000259 15.536161081160046 3.3047465855126394
"BERKELEY 17" 80.15516335351856 30.58995772217466 13.2 3.24865 0.21992780491561315 9.6 0.0 -0.14473378658294678 0.030080098658800125 -73.44423744170116 2.7839046255044977 0.08188816096369585 2.6425544243739165 -0.38919526410606775 0.5681834283373631 0.5337466963664363 0.09960953638059612 -1.627681553991417 0.6761059462861002 40.55955966328225 8 GOOD 0.057134322822093964 0.018918750807642937 0.1693005518788541 11.535975139179246 0.8113769606186179 6.184843766417987 1.2329400952984673
"BERKELEY 53" 313.9872601486658 51.060283591388 15.0 2.2453000000000003 0.5165980152642865 9.09 0.01 -0.08031167089939117 0.025450021028518677 -36.13827194347004 1.1480777182838373 0.043880830786169125 -3.811267546250198 -5.684023251211717 0.5381988994481284 0.5195433823471263 0.09141828025431721 -24.664307180649 0.8016697018973755 12.473034845760903 8 GOOD -0.018184073269367218 0.013377567753195763 0.17412553535452865 8.6080780431336 0.1492951825940036 3.8385535598026466 0.8737933947796428
"BERKELEY 66" 46.01588745897597 58.739744115356544 6.9 5.6704 0.2230207403185741 9.15 0.0 -0.19832654297351837 0.04371845722198486 -49.820447071961844 1.043788154884454 0.17125075015024424 -0.26690441867595716 -0.1307482545890556 0.532826832167717 0.7538600476060415 0.18036480715932393 3.3499234644669573 0.36403529011358304 51.18864497624675 8 GOOD 0.09341444820165634 0.024895600974559784 0.058822955075905486 13.135072484908878 1.292317143412045 11.463207375889532 2.8420411791655895
"BERKELEY 71" 85.23775365601466 32.26571282608567 8.100000000000001 2.5408999999999997 0.3157593831631224 9.02 0.034 -0.2071070373058319 0.060871366411447525 -9.400356336937783 0.8232121457210899 0.09181288135005003 0.5535466237574294 -1.7164709081386944 0.5725145833269004 0.4502112248563979 0.0871308673852561 -6.363664393995047 0.6513147675237215 16.54382163131487 8 GOOD 0.01859431155025959 0.03996687009930611 0.07489154595020639 10.837058099428381 0.6346133819868806 4.118874715988928 0.9885861923600404
"COLLINDER 106" 99.30756109845659 6.069533984954658 30.6 3.8129 0.529328332512062 6.415 0.0 -0.16161969304084778 0.19194883108139038 49.24262305783202 0.36998868354102005 0.06303255266201652 -0.6035317098728414 0.12864062069869403 1.142212431479289 0.5970125478058749 0.0061350725765261915 12.708703004579682 0.9788813689742504 13.597353314890668 14 WARN 0.0015867581823840737 0.06493458896875381 0.012927717376275853 11.847247638243402 0.9074562413302323 10.723088054971317 2.677580497799692
"COLLINDER 185" 125.8348808069846 -36.33050139087132 7.800000000000001 2.2098 0.0 8.18 0.0 0.10150022804737091 0.12927760183811188 37.429704174423634 3.526284851058945 0.034070490255945426 -2.8378145317032706 3.068924039026095 0.7679373842286215 0.4795701582720028 0.06274969298052774 -1.5211278345821428 0.6674634142143844 11.837753039764602 5 INSU 0.023683300241827965 0.04988997429609299 0.05033232155253406 9.12317261344068 0.2634560690715417 5.609936806189586 0.848347618534184
"COLLINDER 69" 83.83514188194341 9.830567676553908 32.1 0.19390000000000002 1.1437437886838093 6.76 0.0 -0.15927812457084656 0.1336851865053177 27.048362887721844 0.623976837015509 0.029470508146341053 0.8138017024711087 -2.1228927442477143 0.5799050894963801 0.6312228943604059 0.039952876468106226 8.248555347720298 0.8983791939413212 12.395039110404195 101 WARN -0.0564047135412693 0.09835492819547653 0.012735271060904534 8.483282689844147 0.04688320190211632 0.7216096703821402 0.045514018398468435
"CZERNIK 18" 66.95718633976765 30.945109352921452 8.4 1.4397 0.5122957630987093 8.68 0.0 -0.21687881648540497 0.2620735764503479 -16.973176965886942 4.171300571015317 0.04117575094889493 1.4591427759650348 -1.438886867520151 1.1035964279581785 1.8159406813496264 0.03030855406259602 11.836192254690234 0.14973575984838525 10.729608075169025 6 WARN 0.04848978668451309 0.08716124296188354 0.2753670869578788 9.682342671111288 0.355595179243911 7.8684139654976235 1.4142681763398501
